Channels:	1
Count:	300
Start:	45432.755904	05/20/2024 11:08:30
End:	45432.759364	05/20/2024 11:13:29
Parameters	0	 																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												

Date	Time	Time Stamp	Time from Start	BIO1
05/20/2024	     11:09:37	       45432.756678993	67.000000	      -2.397917e+00	                                                                                                     
05/20/2024	     11:09:38	       45432.756690567	68.000000	      -2.413207e+00	                                                                                                     
05/20/2024	     11:09:39	       45432.756702141	69.000000	      -2.383959e+00	                                                                                                     
05/20/2024	     11:09:40	       45432.756713715	70.000000	      -2.409212e+00	                                                                                                     
05/20/2024	     11:09:41	       45432.756725289	71.000000	      -2.402726e+00	                                                                                                     
05/20/2024	     11:09:42	       45432.756736863	72.000000	      -2.412886e+00	                                                                                                     
05/20/2024	     11:09:43	       45432.756748438	73.000000	      -2.408571e+00	                                                                                                     
05/20/2024	     11:09:44	       45432.756760012	74.000000	      -2.410469e+00	                                                                                                     
05/20/2024	     11:09:45	       45432.756771586	75.000000	      -2.370642e+00	                                                                                                     
05/20/2024	     11:09:46	       45432.756783160	76.000000	      -2.382997e+00	                                                                                                     
05/20/2024	     11:09:47	       45432.756794734	77.000000	      -2.381863e+00	                                                                                                     
05/20/2024	     11:09:48	       45432.756806308	78.000000	      -2.398164e+00	                                                                                                     
05/20/2024	     11:09:49	       45432.756817882	79.000000	      -2.409014e+00	                                                                                                     
05/20/2024	     11:09:50	       45432.756829456	80.000000	      -2.386524e+00	                                                                                                     
05/20/2024	     11:09:51	       45432.756841030	81.000000	      -2.391579e+00	                                                                                                     
05/20/2024	     11:09:52	       45432.756852604	82.000000	      -2.391209e+00	                                                                                                     
05/20/2024	     11:09:53	       45432.756864178	83.000000	      -2.412590e+00	                                                                                                     
05/20/2024	     11:09:54	       45432.756875752	84.000000	      -2.419619e+00	                                                                                                     
05/20/2024	     11:09:55	       45432.756887326	85.000000	      -2.410247e+00	                                                                                                     
05/20/2024	     11:09:56	       45432.756898900	86.000000	      -2.402159e+00	                                                                                                     
05/20/2024	     11:09:57	       45432.756910475	87.000000	      -2.421172e+00	                                                                                                     
05/20/2024	     11:09:58	       45432.756922049	88.000000	      -2.454834e+00	                                                                                                     
05/20/2024	     11:09:59	       45432.756933623	89.000000	      -2.452245e+00	                                                                                                     
05/20/2024	     11:10:00	       45432.756945197	90.000000	      -2.410001e+00	                                                                                                     
05/20/2024	     11:10:01	       45432.756956771	91.000000	      -2.390840e+00	                                                                                                     
05/20/2024	     11:10:02	       45432.756968345	92.000000	      -2.424156e+00	                                                                                                     
05/20/2024	     11:10:03	       45432.756979919	93.000000	      -2.409409e+00	                                                                                                     
05/20/2024	     11:10:04	       45432.756991493	94.000000	      -2.420630e+00	                                                                                                     
05/20/2024	     11:10:05	       45432.757003067	95.000000	      -2.533526e+00	                                                                                                     
05/20/2024	     11:10:06	       45432.757014641	96.000000	      -2.172445e+00	                                                                                                     
05/20/2024	     11:10:07	       45432.757026215	97.000000	      -2.174344e+00	                                                                                                     
05/20/2024	     11:10:08	       45432.757037789	98.000000	      -1.919500e+00	                                                                                                     
05/20/2024	     11:10:09	       45432.757049363	99.000000	      -1.729736e+00	                                                                                                     
05/20/2024	     11:10:10	       45432.757060938	100.000000	     -1.595459e+00	                                                                                                     
05/20/2024	     11:10:11	       45432.757072512	101.000000	     -1.557975e+00	                                                                                                     
05/20/2024	     11:10:12	       45432.757084086	102.000000	     -1.538444e+00	                                                                                                     
05/20/2024	     11:10:13	       45432.757095660	103.000000	     -1.515410e+00	                                                                                                     
05/20/2024	     11:10:14	       45432.757107234	104.000000	     -1.520639e+00	                                                                                                     
05/20/2024	     11:10:15	       45432.757118808	105.000000	     -1.487149e+00	                                                                                                     
05/20/2024	     11:10:16	       45432.757130382	106.000000	     -1.487519e+00	                                                                                                     
05/20/2024	     11:10:17	       45432.757141956	107.000000	     -1.486977e+00	                                                                                                     
05/20/2024	     11:10:18	       45432.757153530	108.000000	     -1.470725e+00	                                                                                                     
05/20/2024	     11:10:19	       45432.757165104	109.000000	     -1.462069e+00	                                                                                                     
05/20/2024	     11:10:20	       45432.757176678	110.000000	     -1.485916e+00	                                                                                                     
05/20/2024	     11:10:21	       45432.757188252	111.000000	     -1.489122e+00	                                                                                                     
05/20/2024	     11:10:22	       45432.757199826	112.000000	     -1.482045e+00	                                                                                                     
05/20/2024	     11:10:23	       45432.757211400	113.000000	     -1.479800e+00	                                                                                                     
05/20/2024	     11:10:24	       45432.757222975	114.000000	     -1.480812e+00	                                                                                                     
05/20/2024	     11:10:25	       45432.757234549	115.000000	     -1.489517e+00	                                                                                                     
05/20/2024	     11:10:26	       45432.757246123	116.000000	     -1.486311e+00	                                                                                                     
05/20/2024	     11:10:27	       45432.757257697	117.000000	     -1.493093e+00	                                                                                                     
05/20/2024	     11:10:28	       45432.757269271	118.000000	     -1.522883e+00	                                                                                                     
05/20/2024	     11:10:29	       45432.757280845	119.000000	     -1.532846e+00	                                                                                                     
05/20/2024	     11:10:30	       45432.757292419	120.000000	     -1.499110e+00	                                                                                                     
05/20/2024	     11:10:31	       45432.757303993	121.000000	     -1.516742e+00	                                                                                                     
