%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
130.0, 187500.0, -31798.396324920217, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91293.73327418962, 0.022, -0.016, 0.984, 192.0, 0.0, 176.0, 255.0, 128.0, 30.0, 192.0, 0.0, 0.0, 0.0, 1.717238038537809E9, 0.0, 2024-06-01 03:33:58.537
131.0, 187500.0, -31800.63149936575, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91296.63900096882, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71723803853786E9, 0.0, 2024-06-01 03:33:58.537
132.0, 187500.0, -31784.851167780304, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91301.15405334879, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172380385378742E9, 0.0, 2024-06-01 03:33:58.537
133.0, 187500.0, -31784.71705731357, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91299.79059693702, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172380385378869E9, 0.0, 2024-06-01 03:33:58.537
134.0, 187500.0, -31793.59069986233, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91294.11325384537, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172380385378995E9, 0.0, 2024-06-01 03:33:58.537
135.0, 187500.0, -31797.47990339755, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91297.98010563613, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.717238038537912E9, 0.0, 2024-06-01 03:33:58.537
136.0, 187500.0, -31793.09896148431, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91310.92176567577, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172380385379252E9, 0.0, 2024-06-01 03:33:58.537
137.0, 187500.0, -31778.01153397698, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91298.87417541436, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172380385379376E9, 0.0, 2024-06-01 03:33:58.537
138.0, 187500.0, -31793.34483067332, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91295.4543585127, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.71723803853795E9, 0.0, 2024-06-01 03:33:58.537
139.0, 187500.0, -31800.76560983248, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, -91302.4504545272, 0.022, -0.016, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172380385379624E9, 0.0, 2024-06-01 03:33:58.537
