%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
43.0, 109733.02838003974, 49349.47780960534, -31300.578272411618, 631.6826500514329, 24597.178351542756, -17320.590295861995, 67921.54227751998, -17226.534155194066, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172367858006644E9, 0.0, 2024-06-01 03:13:05.800
44.0, 108172.34017519238, 49387.811051346194, -31194.474541482276, 425.55486268459117, 24854.648095923436, -15925.0591307949, 67547.61994452715, -16492.256998092773, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.717236785800676E9, 0.0, 2024-06-01 03:13:05.800
45.0, 107226.92843996626, 49366.554542369195, -30293.408667255484, 317.93121313228767, 25145.913677920544, -14506.125689283097, 67398.84673343263, -15566.045411353758, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172367858006847E9, 0.0, 2024-06-01 03:13:05.800
46.0, 105939.42325585167, 49081.882724986404, -29276.27018407228, 337.9583761642428, 25468.33759168835, -13226.935354105874, 67847.15567197272, -14494.569837399702, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172367858006928E9, 0.0, 2024-06-01 03:13:05.800
47.0, 104816.76218709495, 48542.959814424496, -28378.646478491602, 468.44786029432544, 25721.94048427826, -12189.434431723885, 69054.10516907039, -13629.22205081249, -0.01, -0.164, 1.096, 192.0, 255.0, 176.0, 250.0, 224.0, 34.0, 64.0, 0.0, 0.0, 0.0, 1.7172367858007004E9, 0.0, 2024-06-01 03:13:05.800
48.0, 104015.04981697201, 47914.29464987453, -27593.69791671013, 674.0392057942398, 25943.826251486094, -11250.214129711883, 70795.86485575019, -13058.11262823494, -0.01, -0.164, 1.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172367858007085E9, 0.0, 2024-06-01 03:13:05.800
49.0, 103061.25617757514, 47264.93176995895, -27050.751692146267, 875.3837198476458, 26084.55283457671, -10451.206320668021, 72654.88179384253, -12393.9752452344, -0.01, -0.164, 1.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172367858007162E9, 0.0, 2024-06-01 03:13:05.800
50.0, 101891.00824487308, 46665.86031506781, -26662.636001424315, 1062.3560622162893, 26166.449626260954, -9811.454690868222, 74452.85611782744, -11748.859196765328, -0.01, -0.164, 1.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.717236785800724E9, 0.0, 2024-06-01 03:13:05.800
51.0, 100556.00560379095, 46139.61084361206, -26488.180635950645, 1231.715229954151, 26226.732281056917, -9344.504397452403, 76239.38634865121, -11247.598975610612, -0.01, -0.164, 1.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7172367858007317E9, 0.0, 2024-06-01 03:13:05.800
52.0, 99528.87589083624, 45628.80642757493, -26489.991127251524, 1468.800183391593, 26247.698217355995, -9046.399181651972, 78026.60948355311, -10433.25786987041, -0.01, -0.164, 1.096, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.717236785800739E9, 0.0, 2024-06-01 03:13:05.800
